year,month,revenue,prev_year_revenue,yoy_growth_pct
2023,7,63276.26,,
2023,8,59616.68,,
2023,9,86337.49,,
2023,10,64723.33,,
2023,11,84241.81,,
2023,12,69571.27,,
2024,1,80526.74,,
2024,2,47582.05,,
2024,3,80759.96,,
2024,4,45892.11,,
2024,5,100337.84,,
2024,6,59852.81,,
2024,7,72032.09,63276.26,13.84
2024,8,79865.08,59616.68,33.96
2024,9,61975.9,86337.49,-28.22
2024,10,76729.03,64723.33,18.55
2024,11,69886.35,84241.81,-17.04
2024,12,72779.09,69571.27,4.61
2025,1,83807.26,80526.74,4.07
2025,2,70498.3,47582.05,48.16
2025,3,94653.47,80759.96,17.2
2025,4,51500.05,45892.11,12.22
2025,5,75751.65,100337.84,-24.5
2025,6,74895.49,59852.81,25.13
